Contour,Area,x-centroid,y-centroid,AllModel (normalized mode 1),AllModel (normalized mode 2)
FtsZ-00-1,1.13215,352.584,193.884,0.446518,0.16083
FtsZ-00-2,1.8233,324.679,340.471,-1.45361,-0.34032
FtsZ-00-3,2.35256,42.2746,270.1,-2.75451,2.05635
FtsZ-01-1,1.17694,345.459,361.43,0.190335,0.219996
FtsZ-01-2,1.42444,173.456,184.218,-0.449551,0.224364
FtsZ-01-3,1.45711,277.541,135.35,-0.48854,-0.136401
FtsZ-01-4,1.78526,247.162,377.991,-1.33987,0.423675
FtsZ-02-1,1.09981,131.038,483.001,0.588883,-0.10198
FtsZ-02-2,1.37373,458.994,207.678,-0.395014,0.667117
FtsZ-02-3,1.56512,441.435,372.762,-0.733892,0.52252
FtsZ-02-4,3.09064,162.093,209.801,-4.33238,3.01173
FtsZ-03-1,1.41111,25.9324,414.098,-0.424778,-0.690974
FtsZ-03-2,1.41598,255.418,477.351,-0.31607,0.165648
FtsZ-03-3,1.42678,395.981,165.82,-0.448723,0.160155
FtsZ-03-4,1.52071,463.293,251.536,-0.408379,1.17983
FtsZ-03-5,1.60377,357.066,439.811,-0.95127,0.647587
FtsZ-03-6,1.88932,145.483,107.565,-1.78171,1.02289
FtsZ-04-1,1.33132,425.928,176.896,-0.171718,0.445498
FtsZ-04-2,1.44189,366.651,251.503,-0.325844,1.15568
FtsZ-04-3,3.12239,181.68,169.394,-4.97778,1.47841
FtsZ-05-01,0.915324,194.645,441.318,1.03577,0.998881
FtsZ-05-02,1.04962,193.654,260.989,0.621951,0.41706
FtsZ-05-03,1.22039,221.517,359.143,0.0535403,0.58906
FtsZ-05-04,1.25723,370.149,94.3506,0.0989776,0.473223
FtsZ-05-05,1.28403,147.904,28.6013,-0.0859955,0.299637
FtsZ-05-06,1.32941,379.173,216.741,0.0345813,1.10748
FtsZ-05-07,1.35287,18.9601,245.038,-0.260486,0.609948
FtsZ-05-08,1.56804,41.9463,34.5076,-0.671554,1.11018
FtsZ-05-09,1.57962,421.546,166.499,-1.12997,0.560667
FtsZ-05-10,1.66329,456.952,301.587,-1.17475,0.447998
FtsZ-06-1,1.03627,350.476,120.472,0.550357,0.731094
FtsZ-06-2,1.12465,401.011,203.975,0.326279,0.455102
FtsZ-06-3,1.56917,382.331,111.606,-0.832,1.49513
FtsZ-06-4,1.61415,201.096,198.691,-1.02936,1.11216
FtsZ-06-5,1.81946,65.7313,172.048,-1.68289,0.290888
FtsZ-06-6,2.18548,187.197,274.495,-2.46949,1.97384
FtsZ-07-1,1.06918,79.7484,16.4077,0.606583,0.499896
FtsZ-07-2,1.12575,277.037,23.4055,0.416315,0.468842
FtsZ-07-3,1.34057,117.274,418.732,-0.217213,0.118579
FtsZ-07-4,1.55887,413.739,373.184,-0.804926,1.66399
FtsZ-07-5,1.9577,178.565,158.296,-2.1358,2.26235
FtsZ-07-6,1.98818,299.682,321.115,-2.30685,0.804969
