Contour,Mode 1 (normalized),Mode 2 (normalized)
WildType00-1,1.3992,-0.163382
WildType00-2,1.26233,0.256239
WildType00-3,0.542408,-0.0466008
WildType00-4,0.302006,0.412777
WildType01-1,1.11744,-0.146153
WildType01-2,0.794961,0.695552
WildType01-3,0.763768,0.523908
WildType01-4,0.584167,-0.248728
WildType02-1,1.1375,0.500527
WildType02-2,0.79507,-0.806849
WildType02-3,0.259361,-0.731488
WildType03-1,0.865204,0.119634
WildType03-2,0.725097,-0.0261838
WildType03-3,1.08929,-0.893393
WildType03-4,0.807858,0.0805148
WildType03-5,-0.128744,0.38935
WildType03-6,-0.592832,-0.490268
WildType04-1,-0.0655633,-0.252718
WildType04-2,-0.517719,-0.901076
WildType04-3,-0.366683,0.359755
WildType04-4,-0.685001,1.10851
WildType05-1,0.326597,-0.543715
WildType05-2,-0.190161,-0.331096
WildType05-3,-0.507897,1.40248
WildType05-4,-1.11447,-2.43701
WildType05-5,-1.92927,3.73581
WildType05-6,-1.80793,1.43425
WildType06-01,1.08824,0.579005
WildType06-02,0.805485,-0.016808
WildType06-03,0.173194,-0.499178
WildType06-04,0.264502,-0.452989
WildType06-05,-0.0219857,0.911759
WildType06-06,-0.121782,0.943884
WildType06-07,-0.178852,-0.161408
WildType06-08,-0.632467,-1.06799
WildType06-09,-1.30725,-0.533501
WildType06-10,-2.4083,-1.53764
WildType06-11,-2.52677,-1.16578
