Contour,Mode 1,Mode 2
WildType00-1,1.90133,-0.07022
WildType00-2,1.71535,0.110129
WildType00-3,0.737065,-0.0200286
WildType00-4,0.410388,0.177408
WildType01-1,1.51846,-0.0628153
WildType01-2,1.08025,0.298942
WildType01-3,1.03786,0.225171
WildType01-4,0.79381,-0.106901
WildType02-1,1.54571,0.215122
WildType02-2,1.0804,-0.346777
WildType02-3,0.352439,-0.314387
WildType03-1,1.1757,0.0514177
WildType03-2,0.985317,-0.0112536
WildType03-3,1.48021,-0.383972
WildType03-4,1.09778,0.0346045
WildType03-5,-0.174948,0.167339
WildType03-6,-0.805584,-0.210713
WildType04-1,-0.0890924,-0.108616
WildType04-2,-0.703516,-0.387275
WildType04-3,-0.498276,0.154619
WildType04-4,-0.93083,0.47643
WildType05-1,0.443805,-0.233684
WildType05-2,-0.258405,-0.142302
WildType05-3,-0.690168,0.602775
WildType05-4,-1.51442,-1.04741
WildType05-5,-2.62164,1.60562
WildType05-6,-2.45675,0.616427
WildType06-01,1.47878,0.248851
WildType06-02,1.09455,-0.00722395
WildType06-03,0.235349,-0.214542
WildType06-04,0.359425,-0.194691
WildType06-05,-0.0298758,0.391866
WildType06-06,-0.165487,0.405673
WildType06-07,-0.243037,-0.0693716
WildType06-08,-0.859444,-0.459013
WildType06-09,-1.77638,-0.229294
WildType06-10,-3.27258,-0.660866
WildType06-11,-3.43356,-0.50104
