Contour,Area,x-centroid,y-centroid,AllModel (normalized mode 1),AllModel (normalized mode 2)
Double-00-1,0.961905,37.5939,446.675,0.884028,0.459355
Double-00-2,1.49285,326.349,149.305,-0.200212,-1.28555
Double-00-3,1.68372,24.8491,182.243,0.162811,-2.07315
Double-00-4,1.74218,53.1412,382.965,-0.539666,-0.813115
Double-01-1,1.16072,389.241,34.4403,0.458109,0.443558
Double-01-2,1.19493,296.972,96.5852,0.533015,-0.0246869
Double-01-3,1.35494,67.35,390.006,-0.0313989,0.168407
Double-01-4,1.41187,184.195,263.751,0.13845,-1.15233
Double-01-5,1.52273,357.647,400.129,-0.196869,-0.216223
Double-02-1,0.861792,211.796,321.64,1.11863,0.62097
Double-02-2,1.23001,162.132,411.549,0.602189,-0.661557
Double-02-3,1.408,273.268,29.2982,0.0549647,0.0623101
Double-03-1,1.52813,292.117,235.949,-0.0991074,-1.05007
Double-03-2,2.19259,362.944,341.664,-1.32253,-2.08002
Double-04-1,1.3691,146.853,461.081,0.222078,-0.607526
Double-04-2,1.42135,90.8612,145.806,0.0473235,-1.16563
Double-04-3,2.22592,445.75,122.059,-1.18973,-2.9374
Double-05-1,1.56397,424.431,307.767,-0.0390522,-1.31633
Double-05-2,1.7593,40.2082,254.883,-0.970316,-0.079954
Double-05-3,1.85,254.31,368.313,-0.974999,-1.27542
Double-06-1,1.17406,479.195,311.75,0.576308,-0.187196
Double-06-2,1.40146,156.435,127.318,-0.216201,-0.876977
Double-06-3,1.61841,109.256,344.923,-0.270307,-1.30847
Double-06-4,1.80441,391.572,457.215,-0.878576,-0.952681
Double-07-1,1.33518,23.8924,263.181,0.264376,-0.605959
Double-07-2,1.35946,235.418,256.579,0.126874,-0.528348
Double-07-3,1.39197,443.614,342.752,0.266626,-0.0950196
Double-07-4,1.93652,153.311,174.617,-0.846993,-1.78824
Double-08-1,1.41571,387.877,336.238,0.216171,-0.989285
Double-08-2,1.43212,51.3901,218.531,-0.11172,-0.586914
Double-08-3,1.58867,171.868,233.83,-0.336715,-0.684921
Double-08-4,2.14336,424.028,404.087,-1.49263,-1.85722
Double-09-1,1.3542,138.174,59.4383,-0.0882002,-0.952858
Double-09-2,1.38928,308.455,146.526,0.10742,-0.952412
Double-09-3,1.48307,216.671,207.018,-0.374377,-0.226783
Double-09-4,2.3034,182.904,469.53,-1.77364,-2.09222
Double-10-1,1.24341,298.306,245.752,0.332158,-0.101134
Double-10-2,1.30871,91.1792,171.823,-0.0964944,-0.130038
Double-10-3,1.41382,353.164,355.129,0.229362,-0.350418
Double-10-4,1.92462,405.071,392.341,-1.04122,-0.305857
