Contour,Area,x-centroid,y-centroid,AllModel (normalized mode 1),AllModel (normalized mode 2)
WildType00-1,0.878623,120.747,383.891,0.992485,0.630619
WildType00-2,0.911697,368.437,124.804,0.888741,0.942513
WildType00-3,1.06313,149.62,391.386,0.405259,0.579823
WildType00-4,1.1745,306.22,278.35,0.23312,0.786824
WildType01-1,0.920108,182.609,220.435,0.797392,0.63502
WildType01-2,1.0115,149.402,139.528,0.561389,1.25528
WildType01-3,1.02499,211.888,136.739,0.543157,1.12177
WildType01-4,1.07383,424.753,78.8739,0.437078,0.3793
WildType02-1,0.981022,331.266,35.3055,0.795102,1.03359
WildType02-2,1.05351,372.592,438.983,0.590014,-0.0736197
WildType02-3,1.15162,222.887,445.586,0.224922,-0.0752254
WildType03-1,0.945549,193.438,263.986,0.620933,0.873976
WildType03-2,0.959883,175.347,341.189,0.53138,0.786552
WildType03-3,0.97255,161.605,257.546,0.791035,-0.0581593
WildType03-4,1.01544,182.66,399.3,0.583284,0.733811
WildType03-5,1.23516,196.379,428.774,-0.0577727,0.770605
WildType03-6,1.3403,466.743,30.2006,-0.359576,-0.0296257
WildType04-1,1.21066,206.71,331.792,-0.00917044,0.305104
WildType04-2,1.27543,158.244,150.685,-0.299455,-0.257636
WildType04-3,1.27086,480.355,119.831,-0.219953,0.784967
WildType04-4,1.34767,142.366,493.502,-0.446908,1.26631
WildType05-1,1.01955,347.579,87.1253,0.268771,0.348241
WildType05-2,1.27721,273.346,391.107,-0.0870815,0.116773
WildType05-3,1.29607,202.911,231.113,-0.330145,1.60683
WildType05-4,1.36763,138.208,176.332,-0.677706,-1.59755
WildType05-5,1.55609,330.706,67.5669,-1.32575,3.28286
WildType05-6,1.57787,223.605,314.914,-1.21386,1.35826
WildType06-01,0.925365,86.5998,102.182,0.762576,1.27327
WildType06-02,0.961718,342.294,173.846,0.581328,0.78654
WildType06-03,1.09473,369.778,191.862,0.159538,0.23394
WildType06-04,1.14758,266.846,372.022,0.221,0.15832
WildType06-05,1.18353,221.563,134.516,0.00540845,1.28757
WildType06-06,1.22812,155.633,225.978,-0.062213,1.24865
WildType06-07,1.34973,441.117,23.9243,-0.0862746,0.150424
WildType06-08,1.47289,308.656,29.724,-0.379617,-0.668312
WildType06-09,1.5966,429.819,181.944,-0.840003,-0.368253
WildType06-10,1.68753,95.1137,203.834,-1.57009,-1.13385
WildType06-11,1.76642,358.207,354.973,-1.65446,-1.00815
